product_id,warehouse_id,stock_quantity,reorder_level
1,1,430,110
1,2,150,68
1,3,464,95
1,4,246,140
1,5,443,35
2,1,232,56
2,2,497,87
2,3,296,93
2,4,494,69
2,5,311,105
3,1,395,143
3,2,223,81
3,3,442,103
3,4,264,135
3,5,299,72
4,1,185,37
4,2,82,92
4,3,386,57
4,4,292,43
4,5,146,102
5,1,102,58
5,2,351,58
5,3,188,143
5,4,112,79
5,5,74,105
6,1,452,66
6,2,329,93
6,3,230,132
6,4,308,145
6,5,249,99
7,1,359,52
7,2,76,149
7,3,492,102
7,4,107,39
7,5,245,54
8,1,441,65
8,2,123,78
8,3,402,49
8,4,287,147
8,5,249,69
9,1,328,74
9,2,87,49
9,3,67,81
9,4,266,124
9,5,324,69
10,1,399,115
10,2,388,123
10,3,360,107
10,4,199,121
10,5,196,53
11,1,266,56
11,2,144,150
11,3,472,120
11,4,294,123
11,5,64,35
12,1,265,120
12,2,450,49
12,3,459,68
12,4,78,119
12,5,430,85
13,1,165,104
13,2,155,36
13,3,360,71
13,4,455,50
13,5,194,46
14,1,155,59
14,2,470,118
14,3,240,123
14,4,275,122
14,5,419,52
15,1,200,127
15,2,387,66
15,3,226,80
15,4,81,134
15,5,224,39
16,1,213,31
16,2,285,95
16,3,170,55
16,4,127,150
16,5,249,135
17,1,316,136
17,2,387,56
17,3,122,63
17,4,115,33
17,5,169,63
18,1,91,126
18,2,433,150
18,3,207,140
18,4,233,123
18,5,233,130
19,1,72,117
19,2,423,61
19,3,223,42
19,4,475,64
19,5,465,93
20,1,139,97
20,2,119,60
20,3,462,121
20,4,483,57
20,5,213,81
21,1,345,90
21,2,183,102
21,3,119,96
21,4,451,119
21,5,63,101
22,1,101,67
22,2,364,138
22,3,479,42
22,4,193,77
22,5,339,116
23,1,70,55
23,2,290,38
23,3,254,72
23,4,462,138
23,5,494,89
24,1,142,51
24,2,88,139
24,3,414,48
24,4,79,43
24,5,390,46
25,1,307,69
25,2,102,47
25,3,301,150
25,4,147,92
25,5,271,73
26,1,61,55
26,2,299,146
26,3,204,31
26,4,236,79
26,5,396,70
27,1,278,43
27,2,78,71
27,3,302,118
27,4,114,60
27,5,170,146
28,1,122,95
28,2,126,148
28,3,211,69
28,4,256,37
28,5,175,84
29,1,487,143
29,2,189,74
29,3,101,114
29,4,493,67
29,5,216,52
30,1,421,139
30,2,219,126
30,3,249,36
30,4,282,92
30,5,480,60
31,1,144,109
31,2,254,47
31,3,294,104
31,4,467,112
31,5,104,140
32,1,423,141
32,2,472,143
32,3,89,79
32,4,89,107
32,5,66,145
33,1,162,100
33,2,397,36
33,3,277,96
33,4,369,92
33,5,335,73
34,1,400,129
34,2,330,82
34,3,240,108
34,4,175,107
34,5,446,66
35,1,266,115
35,2,61,34
35,3,225,106
35,4,169,107
35,5,436,109
36,1,307,31
36,2,208,65
36,3,385,36
36,4,181,142
36,5,199,137
37,1,182,36
37,2,294,47
37,3,416,81
37,4,395,141
37,5,370,93
38,1,222,65
38,2,240,117
38,3,97,51
38,4,426,138
38,5,297,96
39,1,122,131
39,2,353,52
39,3,375,101
39,4,333,115
39,5,403,98
40,1,150,99
40,2,159,110
40,3,492,81
40,4,320,73
40,5,89,66
41,1,448,111
41,2,133,44
41,3,104,116
41,4,337,49
41,5,153,129
42,1,333,134
42,2,93,139
42,3,121,118
42,4,295,131
42,5,298,59
43,1,60,93
43,2,425,50
43,3,71,63
43,4,407,125
43,5,430,125
44,1,145,115
44,2,296,53
44,3,252,39
44,4,247,131
44,5,451,67
45,1,489,90
45,2,395,101
45,3,500,150
45,4,99,58
45,5,61,90
46,1,328,46
46,2,188,97
46,3,334,70
46,4,322,143
46,5,80,45
47,1,108,78
47,2,190,63
47,3,152,40
47,4,263,101
47,5,209,56
48,1,383,138
48,2,209,114
48,3,177,85
48,4,201,59
48,5,61,38
49,1,204,42
49,2,237,80
49,3,116,148
49,4,163,128
49,5,350,42
50,1,233,86
50,2,158,45
50,3,383,50
50,4,88,57
50,5,479,69
51,1,317,34
51,2,424,131
51,3,490,76
51,4,210,88
51,5,187,134
52,1,128,137
52,2,144,120
52,3,379,73
52,4,72,101
52,5,465,114
53,1,206,135
53,2,76,54
53,3,169,139
53,4,68,44
53,5,282,33
54,1,76,103
54,2,262,100
54,3,239,62
54,4,125,78
54,5,353,146
55,1,195,114
55,2,259,102
55,3,477,31
55,4,357,126
55,5,303,140
56,1,336,114
56,2,68,61
56,3,497,56
56,4,213,70
56,5,172,104
57,1,496,57
57,2,240,134
57,3,271,123
57,4,239,74
57,5,407,96
58,1,373,106
58,2,67,124
58,3,301,140
58,4,79,128
58,5,350,83
59,1,169,79
59,2,84,140
59,3,362,144
59,4,251,119
59,5,177,31
60,1,337,135
60,2,487,101
60,3,388,141
60,4,51,32
60,5,467,137
61,1,109,53
61,2,103,68
61,3,465,83
61,4,55,102
61,5,311,40
62,1,253,41
62,2,463,126
62,3,350,42
62,4,232,35
62,5,446,53
63,1,307,140
63,2,200,147
63,3,330,79
63,4,365,117
63,5,136,125
64,1,378,132
64,2,344,105
64,3,386,44
64,4,150,150
64,5,178,121
65,1,446,75
65,2,406,118
65,3,236,52
65,4,215,55
65,5,257,105
66,1,71,108
66,2,176,67
66,3,285,99
66,4,106,71
66,5,348,85
67,1,446,48
67,2,212,116
67,3,441,111
67,4,458,31
67,5,148,73
68,1,419,94
68,2,135,48
68,3,233,147
68,4,397,46
68,5,314,138
69,1,456,62
69,2,300,145
69,3,442,67
69,4,146,137
69,5,382,87
70,1,113,44
70,2,367,78
70,3,75,147
70,4,444,100
70,5,100,73
71,1,199,106
71,2,433,146
71,3,298,107
71,4,86,117
71,5,391,87
72,1,459,105
72,2,330,62
72,3,160,107
72,4,362,64
