product_id,category,cost_price,selling_price
1,Grocery,147,433
2,Grocery,71,1692
3,Grocery,131,271
4,Electronics,14086,15397
5,Grocery,367,2056
6,Grocery,71,214
7,Home,7520,8598
8,Grocery,78,1297
9,Electronics,10356,11017
10,Fashion,4262,5556
11,Home,4631,6199
12,Fashion,4013,5520
13,Fashion,1560,2219
14,Fashion,4195,5016
15,Fashion,4211,4908
16,Home,5505,6190
17,Electronics,6593,7830
18,Electronics,37811,38823
19,Grocery,85,740
20,Grocery,255,1172
21,Grocery,237,1398
22,Electronics,31764,33580
23,Sports,2775,3994
24,Home,3443,5329
25,Home,4402,5016
26,Sports,2550,4501
27,Sports,4605,6075
28,Fashion,4351,6249
29,Home,6710,6909
30,Grocery,150,1796
31,Grocery,334,870
32,Grocery,359,1528
33,Electronics,37416,39161
34,Fashion,2174,3634
35,Home,5356,5516
36,Fashion,3685,4825
37,Sports,3445,4171
38,Home,4988,6940
39,Fashion,4203,4316
40,Electronics,46718,47117
41,Electronics,6146,6984
42,Electronics,12872,14026
43,Home,6431,7891
44,Sports,4882,6314
45,Grocery,361,1822
46,Sports,4131,6091
47,Electronics,6318,7855
48,Sports,4613,4815
49,Fashion,4236,5581
50,Electronics,31758,31915
51,Sports,4649,5589
52,Electronics,29083,30297
53,Sports,6411,8090
54,Grocery,120,805
55,Sports,880,2489
56,Grocery,95,497
57,Home,4792,6678
58,Sports,2283,3109
59,Grocery,270,1295
60,Sports,5240,5400
61,Fashion,3056,3990
62,Sports,1467,2949
63,Electronics,23582,24522
64,Fashion,4126,4333
65,Grocery,127,229
66,Grocery,266,702
67,Fashion,1072,1235
68,Grocery,300,1240
69,Electronics,6193,6452
70,Grocery,76,327
71,Fashion,1129,3035
72,Grocery,182,1429
73,Home,9480,10937
74,Sports,7853,8207
75,Grocery,182,1994
76,Sports,2661,4287
77,Electronics,22644,24452
78,Electronics,8512,9366
79,Fashion,4885,5329
80,Electronics,42793,43652
81,Home,8295,8737
82,Electronics,8152,9132
83,Home,9540,10376
84,Fashion,3675,3887
85,Grocery,289,1473
86,Fashion,2842,3245
87,Sports,1639,2328
88,Fashion,4341,5359
89,Fashion,3864,5214
90,Fashion,1470,3380
91,Electronics,14636,15488
92,Grocery,163,1836
93,Home,4737,5773
94,Grocery,129,304
95,Home,1825,2172
96,Home,7792,8269
97,Electronics,18805,19695
98,Home,6054,7718
99,Electronics,45858,47680
100,Electronics,26564,28493
101,Fashion,517,1038
102,Fashion,589,1607
103,Sports,4514,5514
104,Electronics,33428,34360
105,Grocery,494,2148
106,Grocery,220,477
107,Sports,2540,2640
108,Fashion,3874,4794
109,Home,2392,4236
110,Sports,1363,2822
111,Grocery,56,476
112,Sports,4323,5506
113,Grocery,73,448
114,Electronics,43178,43729
115,Sports,2828,4287
116,Home,2815,4013
117,Fashion,2810,2932
118,Fashion,4905,6531
119,Grocery,312,825
120,Sports,1222,1696
121,Grocery,288,2273
122,Fashion,1494,2428
123,Fashion,530,650
124,Electronics,39377,41311
125,Home,3500,5299
126,Home,7755,8920
127,Home,7290,8579
128,Electronics,46905,48154
129,Home,6333,7087
130,Electronics,46294,47679
131,Home,6880,7727
132,Home,5510,6346
133,Sports,6187,7378
134,Fashion,4067,4693
135,Grocery,255,511
136,Electronics,35198,37094
137,Fashion,1134,2723
138,Electronics,39196,39481
139,Electronics,48208,50206
140,Fashion,3431,5373
141,Electronics,41290,43090
142,Sports,6980,7690
143,Grocery,171,2126
144,Fashion,3909,4190
145,Sports,1246,2633
146,Fashion,1875,3485
147,Electronics,19869,20427
148,Electronics,42717,44432
149,Grocery,403,791
150,Fashion,1486,2440
151,Sports,6804,7620
152,Electronics,9575,9845
153,Electronics,41257,43201
154,Electronics,27942,28331
155,Grocery,208,312
156,Home,6521,7935
157,Electronics,40309,41427
158,Home,6853,7329
159,Home,5837,6594
160,Fashion,1392,2942
161,Grocery,392,1485
162,Sports,4095,5293
163,Home,3422,4346
164,Grocery,154,1462
165,Sports,2414,2877
166,Grocery,200,393
167,Home,7629,8089
168,Grocery,250,2228
169,Home,9934,10317
170,Fashion,1557,3409
