order_id,product_id,quantity,order_date,region,warehouse_id
1,3295,4,1/1/2023,Central,4
2,355,4,1/1/2023,East,4
3,786,3,1/1/2023,South,5
4,3148,1,1/1/2023,West,2
5,2191,2,1/1/2023,South,5
6,1484,2,1/1/2023,Central,4
7,4024,3,1/1/2023,West,1
8,4433,3,1/1/2023,West,1
9,2869,4,1/1/2023,North,1
10,4682,3,1/1/2023,West,3
11,1642,2,1/1/2023,Central,5
12,1763,4,1/1/2023,Central,3
13,665,1,1/1/2023,Central,2
14,2212,3,1/1/2023,South,1
15,2668,3,1/1/2023,West,1
16,4160,5,1/1/2023,Central,3
17,2114,2,1/1/2023,East,5
18,1448,1,1/1/2023,South,1
19,2922,1,1/1/2023,North,5
20,109,1,1/1/2023,North,2
21,1772,1,1/1/2023,Central,4
22,4787,2,1/1/2023,South,1
23,2407,1,1/1/2023,Central,1
24,3323,4,1/1/2023,Central,5
25,3544,1,1/1/2023,South,2
26,550,4,1/1/2023,East,4
27,771,3,1/1/2023,East,5
28,305,4,1/1/2023,Central,2
29,4948,3,1/1/2023,Central,3
30,3687,5,1/1/2023,East,2
31,3038,4,1/1/2023,North,3
32,920,4,1/1/2023,South,5
33,2654,1,1/1/2023,East,2
34,36,4,1/1/2023,West,5
35,2852,1,1/1/2023,Central,4
36,4604,5,1/1/2023,East,1
37,540,1,1/1/2023,East,4
38,1691,4,1/1/2023,East,5
39,3627,4,1/1/2023,East,4
40,4204,3,1/1/2023,West,3
41,3306,5,1/1/2023,East,4
42,1863,2,1/1/2023,South,1
43,3365,4,1/1/2023,West,4
44,3867,1,1/1/2023,South,4
45,3446,1,1/1/2023,Central,3
46,2092,4,1/1/2023,Central,1
47,592,2,1/1/2023,North,2
48,264,3,1/1/2023,Central,5
49,4584,4,1/1/2023,North,1
50,2388,1,1/1/2023,South,2
51,3677,4,1/1/2023,West,5
52,3699,2,1/1/2023,North,1
53,4147,4,1/1/2023,East,1
54,4693,3,1/1/2023,West,1
55,3840,1,1/1/2023,East,4
56,3653,1,1/1/2023,Central,3
57,4989,3,1/1/2023,Central,1
58,4765,2,1/1/2023,East,5
59,2455,5,1/1/2023,East,2
60,3230,5,1/1/2023,West,5
61,2052,1,1/1/2023,North,5
62,4460,4,1/1/2023,West,5
63,1235,1,1/1/2023,Central,2
64,1859,3,1/1/2023,North,2
65,3579,2,1/1/2023,Central,3
66,1396,5,1/1/2023,North,3
67,390,5,1/1/2023,West,4
68,2728,1,1/1/2023,East,2
69,813,4,1/1/2023,Central,3
70,1698,5,1/1/2023,West,2
71,3627,2,1/1/2023,South,5
72,155,3,1/1/2023,North,3
73,4314,3,1/1/2023,North,1
74,2729,5,1/1/2023,Central,3
75,2555,3,1/1/2023,East,1
76,790,4,1/1/2023,South,3
77,2268,5,1/1/2023,East,4
78,2478,4,1/1/2023,North,2
79,2190,4,1/1/2023,Central,4
80,1635,5,1/1/2023,Central,3
81,434,1,1/1/2023,North,5
82,4206,4,1/1/2023,South,2
83,925,3,1/1/2023,West,1
84,4786,4,1/1/2023,South,1
85,4315,5,1/1/2023,South,4
86,3842,2,1/1/2023,West,5
87,3967,3,1/1/2023,East,1
88,1792,3,1/1/2023,West,5
89,2534,3,1/1/2023,East,2
90,4139,1,1/1/2023,East,2
91,4156,5,1/1/2023,East,5
92,709,5,1/1/2023,South,3
93,1842,2,1/1/2023,West,4
94,2108,4,1/1/2023,West,4
95,3816,5,1/1/2023,East,1
96,1733,5,1/1/2023,Central,2
97,1764,2,1/1/2023,West,5
98,2998,3,1/1/2023,South,2
99,933,5,1/1/2023,South,5
100,4993,1,1/1/2023,Central,1
101,2747,3,1/1/2023,North,4
102,706,4,1/1/2023,West,3
103,120,4,1/1/2023,Central,5
104,2148,4,1/1/2023,South,3
105,2946,3,1/1/2023,North,5
106,1371,3,1/1/2023,East,3
107,4738,5,1/1/2023,East,1
108,4110,3,1/1/2023,North,5
109,1680,5,1/1/2023,South,2
110,3495,2,1/1/2023,South,2
111,1993,1,1/1/2023,North,2
112,1798,4,1/1/2023,West,5
113,4141,1,1/1/2023,South,4
114,4226,1,1/1/2023,South,2
115,2399,2,1/1/2023,South,4
116,440,5,1/1/2023,Central,2
117,476,3,1/1/2023,East,5
118,869,1,1/1/2023,West,3
119,4263,1,1/1/2023,Central,4
120,1723,2,1/1/2023,South,2
121,911,4,1/1/2023,South,2
122,4145,2,1/1/2023,Central,4
123,524,1,1/1/2023,West,1
124,2478,1,1/1/2023,East,4
125,4033,2,1/1/2023,Central,1
126,200,2,1/1/2023,West,2
127,11,2,1/1/2023,North,3
128,4443,3,1/1/2023,East,2
129,402,4,1/1/2023,West,3
130,1074,3,1/1/2023,South,4
131,3267,1,1/1/2023,North,5
132,4239,3,1/1/2023,South,1
133,851,4,1/1/2023,South,1
134,1104,3,1/1/2023,West,3
135,2188,2,1/1/2023,West,4
136,3074,3,1/1/2023,East,1
137,818,5,1/1/2023,East,4
138,2725,5,1/1/2023,West,1
139,1422,5,1/1/2023,East,2
140,1578,4,1/1/2023,East,4
141,1025,4,1/1/2023,South,5
142,2040,1,1/1/2023,West,5
143,4077,1,1/1/2023,East,1
144,4500,3,1/1/2023,East,4
145,2824,1,1/1/2023,South,4
146,2447,2,1/1/2023,Central,3
147,128,2,1/1/2023,South,5
148,1990,3,1/1/2023,West,3
149,2545,2,1/1/2023,South,1
150,3970,4,1/1/2023,East,4
151,2700,5,1/1/2023,Central,2
152,1309,1,1/1/2023,North,3
153,3610,4,1/1/2023,West,1
154,968,2,1/1/2023,Central,2
155,1790,2,1/1/2023,West,4
156,3499,3,1/1/2023,South,1
157,3306,2,1/1/2023,East,1
158,480,3,1/1/2023,West,3
159,4986,4,1/1/2023,Central,5
160,4868,2,1/1/2023,North,3
161,538,5,1/1/2023,East,3
162,3724,3,1/1/2023,North,2
163,2522,4,1/1/2023,West,1
164,470,2,1/1/2023,East,5
165,2968,5,1/1/2023,North,4
166,2778,2,1/1/2023,South,5
167,2988,4,1/1/2023,South,1
168,2235,4,1/1/2023,West,5
169,3077,3,1/1/2023,Central,2
170,117,1,1/1/2023,North,1
171,3528,2,1/1/2023,Central,2
172,4796,5,1/1/2023,South,4
173,3532,1,1/1/2023,South,2
174,3552,5,1/1/2023,West,3
175,3168,1,1/1/2023,Central,2
176,2306,4,1/1/2023,West,4
177,1368,1,1/1/2023,West,4
178,929,4,1/1/2023,Central,1
179,4398,4,1/1/2023,Central,1
180,4145,5,1/1/2023,West,3
181,3165,3,1/1/2023,Central,1
182,4484,5,1/1/2023,West,1
183,1549,2,1/1/2023,South,2
184,2842,2,1/1/2023,South,4
185,1788,5,1/1/2023,Central,1
186,4596,5,1/1/2023,East,3
187,193,1,1/1/2023,North,5
188,507,3,1/1/2023,North,5
189,1953,5,1/1/2023,Central,3
190,3507,4,1/1/2023,Central,5
191,3200,2,1/1/2023,North,3
192,3053,1,1/1/2023,East,2
193,1484,3,1/1/2023,Central,2
194,3424,4,1/1/2023,Central,5
195,3659,3,1/1/2023,North,2
196,1394,2,1/1/2023,North,4
197,4922,2,1/1/2023,East,4
198,282,1,1/1/2023,South,2
199,2860,4,1/1/2023,Central,3
200,1404,4,1/1/2023,North,3
201,4883,4,1/1/2023,West,1
202,1698,1,1/1/2023,North,2
203,1244,2,1/1/2023,North,4
204,1828,5,1/1/2023,Central,1
205,2928,5,1/1/2023,North,5
206,178,4,1/1/2023,East,4
207,1835,3,1/1/2023,East,2
208,4186,1,1/1/2023,South,1
209,1654,1,1/1/2023,North,2
210,1886,5,1/1/2023,Central,1
