product_id,supplier_type,lead_time_days
1,Import,23
2,Import,23
3,Import,19
4,Import,22
5,Import,25
6,Import,20
7,Local,3
8,Import,25
9,Local,3
10,Local,4
11,Import,16
12,Local,3
13,Local,4
14,Import,21
15,Local,4
16,Import,24
17,Local,4
18,Local,5
19,Import,23
20,Local,3
21,Local,4
22,Import,17
23,Local,3
24,Local,5
25,Import,22
26,Local,3
27,Local,5
28,Import,25
29,Local,4
30,Local,4
31,Import,18
32,Import,19
33,Import,23
34,Local,3
35,Import,16
36,Import,16
37,Local,3
38,Local,4
39,Import,17
40,Import,17
41,Local,3
42,Local,4
43,Import,17
44,Import,17
45,Local,5
46,Import,25
47,Import,18
48,Local,5
49,Local,5
50,Local,3
51,Import,25
52,Import,15
53,Local,3
54,Import,17
55,Import,16
56,Import,16
57,Import,21
58,Local,4
59,Import,22
60,Local,5
61,Local,4
62,Import,21
63,Import,21
64,Local,5
65,Local,4
66,Local,3
67,Import,21
68,Local,5
69,Import,19
70,Local,4
71,Local,4
72,Local,5
73,Import,23
74,Local,4
75,Import,15
76,Import,21
77,Local,3
78,Local,5
79,Local,3
80,Import,22
81,Local,3
82,Local,5
83,Local,3
84,Import,15
85,Local,4
86,Local,3
87,Import,21
88,Import,21
89,Local,3
90,Import,24
91,Local,4
92,Local,5
93,Import,25
94,Import,25
95,Local,4
96,Local,5
97,Import,18
98,Local,3
99,Import,22
100,Local,3
101,Import,20
102,Local,3
103,Import,17
104,Import,24
105,Local,4
106,Local,5
107,Import,24
108,Import,25
109,Import,18
110,Import,18
111,Local,5
112,Import,22
113,Import,25
114,Local,4
115,Import,18
116,Local,4
117,Local,4
118,Local,5
119,Import,21
120,Local,5
121,Import,19
122,Import,25
123,Local,3
124,Local,5
125,Import,16
126,Import,20
127,Import,24
128,Local,5
129,Local,5
130,Import,19
131,Import,15
132,Local,4
133,Import,17
134,Import,19
135,Local,4
136,Import,16
137,Import,24
138,Import,18
139,Local,4
140,Local,3
141,Import,19
142,Local,5
143,Import,19
144,Import,23
145,Local,3
146,Local,3
147,Import,22
148,Import,17
149,Import,15
150,Local,4
151,Local,3
152,Local,5
153,Import,19
154,Local,3
155,Local,5
156,Local,3
157,Local,4
158,Local,5
159,Import,17
160,Local,5
161,Local,3
162,Local,3
163,Import,21
164,Local,3
165,Local,5
166,Import,22
167,Import,21
168,Import,17
169,Local,5
170,Local,5
171,Local,4
172,Local,5
173,Import,18
174,Import,19
175,Local,3
176,Local,4
177,Import,25
178,Local,4
179,Local,5
180,Local,5
181,Import,18
182,Local,4
183,Import,23
184,Local,4
185,Import,21
186,Local,5
187,Local,4
188,Local,3
189,Local,5
190,Import,24
191,Import,21
192,Local,4
193,Import,15
194,Local,3
195,Import,17
196,Import,20
197,Local,4
198,Local,4
199,Local,3
200,Import,25
201,Local,4
202,Local,4
203,Import,25
204,Local,3
205,Local,5
206,Import,15
207,Import,20
208,Local,3
209,Import,18
210,Import,17
211,Import,24
212,Local,5
213,Local,4
214,Local,3
215,Local,3
216,Local,3
217,Import,21
218,Import,24
219,Import,17
220,Import,17
221,Import,25
222,Import,25
223,Local,3
224,Local,5
225,Import,16
226,Local,3
227,Import,22
228,Import,23
229,Local,5
230,Local,3
231,Local,5
232,Local,3
233,Import,24
234,Local,5
235,Local,3
